Area_sqft,Bedrooms,Bathrooms,House_Age_years,Location_Score,Garage,Price
2242,1,1,39,6.0,1,280586
1598,2,3,31,4.2,0,263170
1953,4,5,4,8.3,1,338357
1541,4,4,16,4.5,1,263588
1364,3,4,7,8.2,1,302801
2800,3,2,56,3.8,1,375683
1873,3,2,41,1.7,1,269489
2104,4,4,33,9.4,0,346238
2301,4,3,8,4.6,1,364809
1880,3,2,55,8.1,0,311085
1944,2,1,22,3.5,1,261993
1148,2,1,34,6.8,1,256119
1262,2,3,49,8.9,1,235104
1231,3,2,6,1.4,1,237780
2163,4,4,14,8.5,1,390865
1843,4,4,52,6.1,0,266848
1262,3,2,53,6.5,1,201017
2148,4,4,19,5.7,1,369962
2126,5,4,49,8.9,1,410539
1383,3,3,24,1.4,1,262804
1783,3,3,2,3.3,1,297865
2128,5,4,59,8.9,1,350529
1285,3,2,54,7.8,0,240362
2140,5,5,45,1.2,1,304470
1981,5,4,23,5.7,1,361325
1200,4,3,33,5.8,1,216163
1932,4,5,45,4.6,1,270501
2019,4,3,21,3.7,0,348001
1424,4,3,10,7.1,0,274120
1472,3,4,47,2.9,0,228482
1195,2,1,7,8.2,1,270618
1531,3,2,38,8.2,0,321491
1793,4,5,42,4.7,1,326462
1473,2,3,34,3.6,1,238735
909,1,1,48,3.6,1,153052
1387,2,1,45,5.3,1,216270
1550,4,4,37,7.5,0,291903
2290,5,5,7,4.2,0,382722
2157,5,5,53,6.5,1,351174
2302,3,2,36,4.4,0,334369
1357,4,3,26,3.7,1,252318
1885,4,5,27,1.2,1,308425
400,3,3,39,1.0,1,100433
2057,3,4,33,3.0,0,271864
2167,2,1,31,4.7,1,349571
1589,5,5,14,8.7,0,360637
1977,3,2,43,8.2,1,333136
891,3,3,16,3.4,1,192908
1319,4,3,32,3.2,1,225666
2259,3,3,46,3.0,1,345879
2107,3,3,45,4.1,1,298883
1553,4,3,51,5.5,1,303922
2287,1,1,53,4.9,1,333595
1883,4,4,15,3.0,0,319596
1497,3,4,28,2.2,1,240814
1690,4,3,8,1.1,1,233385
1527,4,4,32,2.4,0,266938
1090,3,3,59,7.3,0,174511
2554,3,4,48,3.2,0,381679
1459,4,3,28,5.2,0,238577
1301,4,4,12,6.3,1,233144
882,4,5,20,9.0,1,248865
400,4,4,57,9.0,1,196070
2221,2,1,20,7.7,1,333680
2276,3,4,4,1.3,1,380796
2516,5,5,9,6.2,0,439639
1711,3,4,5,8.1,1,337639
1607,2,1,55,1.2,1,197249
1495,3,4,50,5.9,1,256353
1550,2,1,56,8.7,1,279054
2472,2,2,12,5.3,1,397491
1784,5,4,0,1.0,0,272243
2027,3,3,19,1.1,1,275477
1535,3,3,56,4.7,0,235154
2593,5,4,46,2.4,1,418601
657,5,5,45,7.0,1,168918
1068,3,4,7,7.4,0,267822
2028,3,3,9,2.6,1,315317
2850,4,3,8,9.0,0,427682
1665,4,5,48,5.0,1,281259
1295,4,5,40,2.3,1,243342
2400,5,5,2,7.9,1,483145
1994,4,4,10,8.1,0,329996
2574,3,2,11,6.8,1,340101
1026,4,5,9,8.7,1,236181
2527,3,2,24,7.6,1,433900
871,4,4,48,8.9,0,171776
1627,4,5,48,4.9,1,324771
2048,2,1,24,7.7,1,365430
1912,3,2,10,10.0,0,355216
2436,3,2,53,7.5,1,363661
704,3,2,35,2.0,1,132362
1885,4,3,38,5.7,1,333777
2520,3,4,52,6.3,1,402562
1836,4,3,25,2.6,1,334711
1115,2,3,13,9.7,1,252097
2405,4,3,38,2.6,0,310479
1411,4,4,55,2.6,1,194288
1305,4,4,39,9.2,1,243968
1230,3,2,0,5.2,1,245307
1681,5,5,55,1.6,1,262761
1910,3,4,53,6.4,1,319116
1039,1,1,3,6.4,1,191354
1162,3,4,29,1.6,1,169586
1383,1,1,11,9.8,1,288018
1227,5,5,55,5.9,1,191263
1822,2,3,34,6.0,0,269600
2017,4,4,12,5.7,0,363002
1934,4,4,51,6.5,1,308559
1935,2,1,30,3.4,1,289592
2803,4,5,37,3.6,1,402254
2054,1,1,42,5.6,0,278484
2270,3,2,22,8.3,0,386473
1551,1,1,3,1.4,0,179274
2366,5,4,51,6.4,0,398652
1523,5,5,15,8.3,0,321108
2047,2,1,6,2.4,1,327651
977,2,3,21,1.1,1,165844
1900,4,5,28,3.8,1,293463
1215,3,3,10,6.3,1,292700
2362,5,5,55,2.2,1,331091
2326,3,2,32,4.8,0,336641
1520,3,3,57,6.0,0,273835
3030,4,3,28,6.4,1,420202
1628,3,3,58,3.5,1,285852
833,5,5,38,4.6,1,173588
1333,5,4,11,8.0,1,289085
1174,2,3,6,9.5,1,274601
2028,1,2,58,8.8,1,322517
1059,5,5,54,6.1,1,254709
1476,5,4,38,4.7,1,234400
1989,2,1,41,4.0,1,304366
1883,4,4,47,2.1,1,307541
1792,3,4,25,2.0,0,294271
1876,3,2,39,7.2,1,276678
1578,4,5,8,3.3,1,250337
838,2,3,40,3.3,1,145701
1562,5,5,33,10.0,1,306919
2081,2,2,44,2.7,1,244921
1718,4,5,12,2.3,1,283223
2035,2,1,54,1.9,1,272152
1448,3,2,54,6.2,1,318534
2397,4,4,35,6.7,0,400157
400,2,3,24,4.3,1,162507
1885,3,2,23,5.8,1,311796
2609,3,2,43,8.1,0,414469
2699,2,2,16,8.4,0,415827
1661,4,5,1,9.6,1,424298
1004,3,2,12,8.4,1,218940
2620,3,3,30,6.1,1,392551
1769,3,2,28,2.6,0,277594
1705,3,2,49,1.9,1,248387
1264,2,1,27,1.5,1,173076
1050,3,3,59,7.0,0,225509
2138,3,4,26,8.3,0,365231
2202,4,4,14,5.6,1,372435
1921,4,5,30,1.5,1,306785
1342,3,2,39,5.8,1,196387
1161,2,3,14,9.4,0,211089
941,2,1,32,6.4,1,213692
1464,2,1,19,8.3,1,255956
1196,2,2,41,8.2,0,221496
774,3,2,11,9.4,1,258291
2191,2,2,36,7.9,1,351823
1009,2,3,8,7.7,0,215128
2390,2,3,22,3.1,1,370102
2036,1,1,7,1.5,1,263363
1977,2,2,31,5.7,1,341113
2799,2,1,47,2.1,0,375169
1029,3,3,13,9.7,0,292038
2324,3,3,26,3.6,1,333021
1621,2,2,24,8.7,1,332994
3343,3,4,12,4.5,0,497512
1572,3,3,54,3.9,0,205606
1475,2,3,20,9.4,0,220696
2055,1,1,44,4.3,1,267349
1675,3,4,30,4.5,1,291809
1345,4,5,36,2.0,1,244334
1218,2,3,47,7.0,0,218183
2675,2,1,57,3.6,1,355647
1102,5,5,42,6.3,0,234790
1934,3,2,53,6.3,1,334060
2434,2,2,4,7.5,1,359673
2463,4,4,12,7.7,1,431567
1439,4,3,27,5.6,1,249011
1676,3,4,42,4.0,0,241456
1560,3,3,24,8.5,0,323106
879,2,3,50,3.8,1,134098
2123,2,1,34,5.6,1,316672
1823,3,4,46,4.6,1,344122
2664,2,2,38,8.7,1,437932
1306,3,3,6,4.9,1,238446
2453,5,5,37,4.5,0,377051
2496,5,4,31,7.2,0,382140
1828,2,2,2,6.4,1,346476
497,4,3,44,2.0,0,130924
1492,3,4,38,5.6,1,285605
2872,4,4,36,7.6,0,470961
1978,3,3,54,9.9,1,332097
2216,1,1,49,6.7,1,287022
1747,2,3,21,4.3,0,285854
1666,3,3,7,3.0,0,287634
680,3,2,16,8.9,1,239876
2277,4,5,51,8.3,1,389418
2448,4,5,26,3.1,0,361991
1229,3,4,32,2.8,1,208698
1693,3,4,45,7.4,0,312029
1612,2,3,16,3.8,1,256588
2052,5,4,41,3.8,1,332634
1473,5,5,11,2.4,0,283636
2359,5,5,47,3.4,1,354534
1843,4,5,45,4.8,1,348639
400,2,3,26,7.6,0,153227
2066,1,2,47,4.0,1,243979
2398,3,4,7,4.0,0,355376
1109,5,5,22,3.6,0,173871
2045,2,1,59,5.3,0,280683
2898,1,1,41,2.6,1,362202
1867,4,5,48,5.4,0,331511
2485,2,1,58,7.3,1,344875
1535,3,3,28,1.3,1,243593
1789,4,5,49,1.1,1,286301
1677,2,2,19,1.7,1,251470
1568,2,2,15,5.8,1,299363
1711,4,5,16,8.7,1,399327
822,4,4,15,1.0,1,168939
1601,5,5,18,9.4,0,347849
2603,3,3,55,2.0,1,332853
1222,2,3,55,8.6,0,205052
1160,4,5,7,5.3,1,281246
1837,3,3,37,6.9,1,338578
1867,2,3,37,5.6,0,264200
2026,4,5,52,5.3,0,294114
1732,2,2,28,8.5,1,292122
1843,3,4,40,7.8,1,325826
1589,2,1,35,5.4,1,243552
1035,3,4,25,2.0,1,191713
1757,3,2,30,2.0,0,272767
2235,3,3,43,8.2,0,374053
2109,4,5,59,5.8,1,361183
753,5,5,11,5.3,1,151272
1951,2,2,54,7.1,1,268672
1264,2,2,16,8.7,0,230069
2635,1,1,14,6.7,1,377715
1996,2,2,8,7.9,1,365616
2338,4,5,38,7.9,1,382687
1813,4,3,41,4.2,1,311533
1760,4,5,47,3.5,1,271572
2698,2,3,11,8.2,1,406038
2384,3,4,31,4.4,0,329319
1871,3,4,24,9.1,0,398877
1680,2,1,38,1.6,1,208816
776,4,5,17,1.5,1,187395
1995,5,5,14,9.3,1,357145
1724,3,4,31,6.8,1,346053
2132,4,5,5,4.4,1,373666
2315,3,2,57,7.8,1,372349
2540,2,1,43,7.1,0,379546
2002,3,3,42,5.8,0,326540
1172,3,4,51,1.9,0,200467
510,1,2,34,8.3,1,133923
1305,4,5,33,8.8,1,274860
2600,4,4,37,2.5,0,373231
2894,3,2,55,8.7,1,461191
1657,3,3,53,8.9,0,292774
